label,description,type
"Letter to N. D. Skalon, 1897","""Tursik! Your threat to write me long letters often is not a fact, apparently, but only words. And I believed your threat, and, of course, I was glad. Where are these letters, Tatura? If you call, say, two letters a month frequent writing, then I feel sorry for myself. In my naivety, I apparently misunderstood the word ""often"". And there is nothing to threaten with such writing! Let's say the word ""often"" is so elastic! I dare to assure you, I feel so sorry for myself, Tur-tur! I feel so sorry that if you could measure the extent of my pity, then, firstly, you yourself would feel sorry for me, and secondly, either you would not have made this threat, or, having made it once, you would have carried it out in practice. After this, you come out a traitor to your own words, Turka! I did not expect this from you.
  
  You have disturbed my peace with your promise; by not fulfilling it, you will make me ill, because that the doctor has strictly forbidden me to worry and excite my nervous system; thanks to your promise, I run ten times a day to the front door in the hope of finding a letter from you in the box and each time I return upstairs with nez besqué (I am not responsible for the spelling) on ​​the fifth. (The French words ""nez besqué"", note this! means not raised upward, as you think, but crooked, lowered nose.) Don't you really feel sorry for me? After all, I love you so much, Tusik! Insidious Turturchki! Oh, life! However, I must now begin to answer your questions, otherwise you will probably get angry and thereby give my nervous system a reason to suffer even more, my heartlessly cold Turs.
  
  I will jump to the most pitiful prose. I will talk about money. Money and business first of all. (God has made me talk about money even with the Skalons!) I did not send you my debt with my uncle not because I had no money, but because I would have been terribly unpleasant and ashamed to talk to him about it. I left it to the last minute again. Forgive me, for God's sake, for this and advise me how I can send them to you. This worries and excites me very much (remember my nervous system).
  
  Our patients, Sonya and Feosha, are in the following situation. Sonya was at Snegiryov's, who said that she needs an operation, which is not dangerous and thanks to which, according to him, in ten days she will be completely healthy. The operation will be performed, upon the arrival of her uncle, by some doctors recommended by Grauerman. There is nothing to fear for this, since the operation, I repeat, is not dangerous.
  
  Feosha is in a worse situation. Rudnev finds that she has angina pectoris, with which, according to him, one can live for quite a long time under good conditions; otherwise, this thing is very dangerous. About her he told her this: ""If you continue to eat it, then in a year you will not be alive!"", because he finds it a great weakness. Feosha promised me not to do this. I monitor my medication intake...
  
  Now about the misunderstanding with my doctor. I was, in Ostroumov's absence, with his assistant, who examined me in the spring before him. All his words, which I quoted, were said as I wrote to you. The phrase where he advises me to come to him again in a month needs to be corrected a little. He does not advise him, but Ostroumov's doctor. However, in order to calm me down more and with Ostroumov's authoritative name, I was then told about the improvement. Still, I expected and assumed that Iv. Al. could catch me in this. When I finish the drops, then, probably, I will go to Ostroumov, because of Verochka, to whom I promised.
  
  Now the last message. They say, as if there will be a private opera after all, but it will start earlier in another theater, while the old one is undergoing some changes. However, no one comes to me from there. I myself will not come there without an invitation. Amen.
  
  My dearly beloved Turturinochek! I am ready to give a year of my life to kiss your hand now with its crooked, upward-raised fingers, which constitutes (my love is not blind) your physical defect.
  
  Yours, S. Rachmaninov
  
  I will write to dear Verochka next week. Greetings to Lelesha and your parents.
  
  © https://senar.ru/letters/117""",Letter
"Letter to N. D. Skalon, 1897","""A week ago I sent a letter to Verochka, dear Tatusha. No matter how much I waited, I haven't received a single one from you two. Although this is a short period, I'm starting to think that something might have happened to you. I received your last letter to me 9 days ago. This last letter of yours to me (by the way, very sweet) I thought was the fourth. I'm telling you this because you write that you've lost count of your letters to me, and by the way, this loud phrase has no place here, since the number of your letters is limited by the proverb: one, two, three and... that's it.
 
 However, I'm not angry! After all, in general, taking into account the proverb about [inaudible], you are a good young lady, so I don't want to quarrel with you, at least I'm restraining myself. Just write to me anyway. I'm now a very busy man, old, a little sick, very tired from a lot of work, and, finally, missing you. I miss your letters I fully deserve it. Isn't that so? Especially since you write so easily, so quickly; especially since you are so free! Have you really started to ""grow ugly""? This is terrible! Maybe there is some ulterior motive again? Then this is the play: ""Cunning and Love"", and one must be very naive not to understand which of us is the personification of the first. ""Zemfira! Remember, my dear friend! I blindly gave everything for a wish"", etc... Ah! Tata, Tata! However, I will remain silent!
 
 Now one more story about myself and that's enough. On Wednesday I conducted ""Samson and Delilah"" for the second time. It went as mediocrely as the first time. My next opera is ""Rogneda"". The newspapers all praise me. I have little faith! I get along with everyone at the theater. I still swear quite a lot. I am as good with Mamontov as he is with me.
 
 I repeat once again that I am very tired from work, and I also miss the Skalons very much - that means, if they are only compassionate, they will write to me more often. I kiss your hands. Greetings to all of yours.
 
 Yours, S. Rachmaninov
 
 P.S. Auntie is very good and sweet to me now.
 
 © https://senar.ru/letters/118""",Letter
"Letter to A. V. Zatayevich, 1897","I haven't written to you for a very long time, my dear friend Alexander Viktorovich, but, by God, it won't be an exaggeration if I say that on account of my new position, in which I am a newcomer and which I still haven't gotten used to, I am busy 12 hours a day. I was and am so tired that, believe me, I couldn't think of anything else. But I have some business for you. I'll get to it quickly. I am sending you all your compositions that I have received. Of these, two mazurkas and the G major Feuille d'album have been marked by me for publication. Somehow, about a week and a half ago, I snatched an hour of time to correct a few little things, which I managed to do, and also to rework the ends of your mazurkas, which I only managed in one of them and that's not very important. I am talking now about the A minor one. In it, first of all, I left out four bars. Either agree with this or repeat this second theme. in some other, more interesting arrangement. Before the coda, a conclusion in the main key is necessary, which is what I did. If this does not satisfy you (I confess, I was in a hurry), then write something yourself, but be sure to follow the rules given above. As for the conclusion I have attached, I am quite reconciled with it, and if again it does not satisfy you, then again come up with something yourself. Just remember that your previous ending is absolutely no good. It spoils all the previous music. It gives the impression that you wanted to finish quickly, no matter how it turns out. You did not take the trouble to come up with something more interesting. Not even interesting, but simply something more suitable. In the G major Andante, the amendments are insignificant. I will not go into detail! But the whole problem is in the F major mazurka. Everything is good there, except for the conclusion. Yours is no good. Mine, although motivated by the previous one, is also no good. I spent quite a long time on it. sat, but came up with nothing. In the end, I decided that the author of such an original mazurka should also come up with a finale for it himself. It’s easier for him. And maybe mine, which follows from the previous finale, will push you to something more possible. But again, it can’t be left like this. Don’t be angry with me for this and, most importantly, don’t be lazy and sit over it a little longer. Remember that this is actually the first printing of your works, and that your further success with the publisher depends on it. Please, be strict with yourself in this case. Force yourself to redo all of this. After all, you, of course, can and have the strength to redo it. I don’t want critics to scold you for such thoughtless, tacked-on endings. After all, no one will agree to play these things like that, and the things are good.
 
 Now I also want to tell you that the F-major mazurka, as more bravura, is better placed as the last number. So fix all of this quickly and send it back to me quickly. I won't keep you with the seal.
 
 I shake your hand firmly. Devoted to you and wishing you success
 
 S. Rachmaninov
 
 © https://senar.ru/letters/119",Letter
"Letter to S. I. Taneyev, 1897","""Dear Sergei Ivanovich!
 
 In order for the person you sent to be accepted as a cloakroom attendant, he needs to go to the theater with my card today to see Mr. Smelov, whom I have already warned about this. However, no matter how much I asked, they do not agree to take it without a deposit of 30 rubles. Mr. Smelov is at the theater almost the whole day (today at the Hermitage Theater).
 
 Yours faithfully, S. Rachmaninov
 
 © https://senar.ru/letters/120""",Letter
"Letter to L. D. Skalon, 1897","Are you angry with me or not, dear Lelesha, for not answering your letter for so long? I still think not, because if I have a few free minutes, then, by God, I find it possible to devote them only to rest, to sitting quietly after the periodic running to the theater, after the theater classes and riots that get on my nerves.
 
 In our theater, there really is real chaos. No one knows what will happen not only the day after tomorrow, but what will happen tomorrow, even today. There is no one to sing, not because there are no singers, but because out of our large troupe of 30 people, about 25 people need to be fired for unsuitability. There is also nothing to give. That is, again, the repertoire is huge, but everything is going so badly, so dirty (with the exception of one ""Khovanshchina"") that 95% of the repertoire needs to be either thrown out completely, or really retrained.
 
 The theatre does not achieve either artistic or commercial goodness. For example, in the near future it has been decided to renew Verstovsky's ""Askold's Grave"" and ""Stormbreaker"". Well, please tell me, will there be any artistic or commercial benefit from these lousy operas? When I suggested instead staging Schumann's entire ""Manfred"" with Chaliapin in the title role, I was told that instead of a private opera there would be a literary and artistic circle. As if the above-mentioned operas do not have simple conversation instead of recitatives?
 
 Our trouble is that our main bosses are either not particularly smart people in the music business, or not particularly honest. Another bad thing is that we are managed not by one owner, but by ten owners, and each one says something of his own, which does not agree with the opinion of the others. But the worst thing is that S. Mamontov himself is indecisive and succumbs to any opinion. For example, I got him so carried away by the production of Manfred that he immediately ordered it to be staged. Not even five minutes had passed when his friend the artist Korovin, who doesn’t understand anything about music (but, by the way, a very nice and good person, like S. Mamontov), ​​talked him out of it. Let’s say I’ll try to persuade him to do it again.
 
 If only Chaliapin would agree to speak instead of sing. And Chaliapin should be absolutely magnificent in Manfred. As for the operas Rogneda and Snegurochka that were given to me, I myself am trying to persuade them not to stage them because they are going great at the Bolshoi Theatre, and we have neither the time nor the strength to stage them even tolerably. Their production is a sure failure! The production of Judith has been postponed. It will be staged after Sadko, which means around the tenth of January. And the performer of Judith has not yet been found. On November 28th, Carmen will probably be performed with me for the first time. On November 26th, Lyubatovich will debut with me for the first time as a soprano (Natasha) in Rusalka. In general, everything is going so badly that I am afraid of falling ill with a fit of black melancholy. By God!
 
 After all, I am still serving in the theater and I hope to endure this service until the end of the season, although, excluding the financial side, this time will not bring me any benefit, because I have crossed the conducting Rubicon, and now I only need the unconditional attention and subordination of the orchestra, which I will never get from them as a second conductor. By the way, one of these gentlemen recently slapped Esposito in front of the entire audience and the orchestra for, supposedly, some terrible curse words uttered by the latter. A report has been drawn up. This musician, they say, hit him so deftly that Esposito was knocked down and his pince-nez broke. My God! The matter will be heard by a justice of the peace. I am beginning to have a fit of melancholy. What is happening to me? God forbid!.. Esposito continues conducting!
 
 My greetings to Verochka, Tatusha and all of yours. I kiss your hands.
 
 Yours S. R.
 
 © https://senar.ru/letters/121""",Letter
"Letter to N. D. Skalon, 1897","""Where are you, dear Tatusha! Is it also possible to find out where your sisters are? What are they? What is wrong with you personally? About a week and a half ago I sent a letter to Lelya, to which I received no answer. I expected to receive at least one for my four pages, but I was mistaken. However, God be with you! Has Yakovlev started visiting you again?
 
 My affairs are still as bad. I seem to be beginning to suffer from black melancholy. It is a fact! I indulge in this melancholy for at least an hour a day. Today it has swallowed up the whole day, and even today I cried like a fool. Still, I am holding on. It is very dear to me. In the evening I decide to leave the theater; in the morning I decide to at least stay for this day. I have not yet started drinking vodka or wine at all, although almost every day I am among those invited by S. Mamontov to the tavern, where I sit and say nothing, but I am ready to give almost my word of honor that if things do not change, then I I'll start drinking. I'm very drawn to it.
 
 Tatusha, I'll die by the end of the season from black melancholy. Look, cry more! Come to my grave, even on those days when you're sure in advance that you won't have Ershov, Glazunov, or Yakovlev. I'll have a stone slab on my grave (I really want this), which you'll probably put up in memory of your former love for me - there's no one else who can pay for it. So sit down on this slab. Let your hair down! I swear by my pride, my self-love, my unblemished honor (all the bad qualities that are not appropriate in our time) that you'll be like Ophelia. There should be tears on your face, on your lips the words of my romance ""Dream"", dedicated to you, in which, by the way, I dreamed of good people. After sitting to your heart's content, go to a private opera to some performance where I was the conductor without the conductor's seat. And sit here. Only change your appearance here. Here your eyes should throw lightning; your lips should utter curses addressed to those who destroyed me. Your hair will also have to be put in order, otherwise it will be a lyrical look, which is out of place here. Of course, you will not get pleasure, but this is not surprising. And people in your position do not leave us satisfied.
 
 Having done this procedure several times, you can go to your Petersburg, to your ""Wednesdays"", for example. I let you go in peace. Your sadness (I allow it in the name of former love) will soon subside, you will soon begin to ""become prettier"" again and even, perhaps, will not regret that they wrote to me so rarely when I was still alive.
 
 S. Rachmaninov
 
 © https://senar.ru/letters/122""",Letter
"Letter to M. A. Slonov, 1897","Dear Misha! Rimsky-Korsakov has arrived unexpectedly, and they are planning to honor him at Sadko today. I am informing you about this — you will probably want to be there too. My dear one is also coming for this occasion. By the way, tell me if you can come here now to give her a ride. Come quickly, maybe I will wait for you too.
 
 Yours S. R.
 
 Answer verbally.
 
 © https://senar.ru/letters/123""",Letter
"Letter to A. B. Goldenweiser, 1897","Dear Alexander Borisovich!
 
 Would you agree to play my fantasy for 2 pianos with me on Thursday in the sixth week? I think you played it. This evening will be among musicians. If you agree, then perhaps you will find it possible to come to me before leaving for Petersburg, or I can set an hour to agree on which one you will play. We will have time to do rehearsals upon your arrival in the sixth week.
 
 Yours sincerely, S. Rachmaninov
 
 © https://senar.ru/letters/124""",Letter
"Letter to S. I. Taneev, 1898","Nikolai Andreevich has arrived. ""Sadko"" is on [on] Friday. He leaves [on] Saturday.
 
 S. Rachmaninov",Letter
"Letter to A. V. Zatayevich, 1898","I am very much at fault before you, my dear friend Alexander Viktorovich, and I beg you to forgive me. My unforgivable laziness, which has been eating me up lately, is to blame for everything.
 
 I am very grateful to you for your congratulations and I am only surprised that you do not forget, how can you, for example, remember my birthday. It touches me even more...
 
 I am sending you your agreement with Jurgenson for signature. Having written everything that is necessary, send it back by registered mail, but this time to Jurgenson himself, giving him your address. As for the proofreading, we decided with Jurgenson that his proofreader will do the first two, and send the last one to you. Needless to say, of course, that I am ready to do everything in my power for you in this regard in the future. Just do not follow my example and write more and send it to me.
 
 I am leaving soon, but I have not yet decided where, and therefore I ask you to send everything you need to Gutheil, he always knows where I am. To your question about what I wrote and did, it will not take me long to answer - absolutely nothing. But I am getting ready, and whether I will do anything - only God knows.
 
 I shake your hand firmly.
 
 Yours Rachmaninov
 
 P.S. Give your wife my great gratitude for the bow, and also my return bow.
 
 © https://senar.ru/letters/126",Letter
"Letter to A. B. Goldenweiser, 1898","Your wish, dear friend Alexander Borisovich, to play my second Concerto in St. Petersburg touches me from the bottom of my heart and makes me happy. But since I do not have this Concerto yet and since all my intensive work on this matter has not led to anything, I want to ask your permission to give you a final answer to your question in mid-August. If for some reason this is inconvenient for you, then in order not to let you down, I am forced to refuse.
 
 Yours, S. Rachmaninov
 
 P.S. Please convey my greetings to your sisters. I am correcting your inaccuracy in my address just in case. The word ""Putyatino"" is not a surname, but the name of an estate belonging to T.S. Lyubatovich. (Arsaki station. Moscow-Yaroslavl railway)
 
 Thank you for the invitation to your dacha. If I get to Moscow, I will definitely take advantage of it.
 
 © https://senar.ru/letters/127",Letter
"Letter to M. I. Tchaikovsky, 1898","Dear Modest Ilyich!
 
 I have decided to address you with the following question. Would you consider it possible for yourself to write me a libretto for the Shakespeare plot that you offered me in the spring? Of course, I must sincerely add that I would be very happy if you agreed. If my affairs are arranged, I think I will begin writing for this plot in two or three months. I would like to know whether you can write me a script by that time, or even if not a script, would you agree to do it a little later? I say the word ""a little"" because if I write an opera, I will write it urgently. If you have nothing against these lines for now, I would like to know what fee you would like to receive from me for the libretto?
 
 Having deceived you before, I want to clarify this side of the issue in advance.
 
 If your answer to all this brings me your consent, and if your conditions are possible for me, then I would like to come to you in order to talk to you about this personally and in more detail. I do not know your address and am sending this letter through Jurgenson. I think that you are in Klin. I ask you very much, Modest Ilyich, to answer this letter.
 
 With deep respect to you, S. Rachmaninov
 
 My address: Moscow-Yaroslavl Railway, Arsaki Station, Putyatino Estate T. S. Lyubatovich. Sergei Vasilievich Rachmaninov.
 
 © https://senar.ru/letters/128",Letter
"Letter to M. I. Tchaikovsky, 1898","Dear Modest Ilyich.
 
 I hasten to thank you for your kind, amiable letter. I am able to agree to your conditions and since my affairs are now settled, I ask you to start working. In about three days, with your permission, I will be with you.
 
 Yours sincerely, S. Rachmaninov
 
 © https://senar.ru/letters/129",Letter
"Letter to A. B. Goldenweiser, 1898","Tomorrow, my dear friend Alexander Borisovich, is the day when I promised to give you a final answer about my Concerto. The answer is as follows: I have not written a Concerto, and therefore there is no point in counting on it. I ask you to sincerely apologize for the vain expectations, and then please don't be angry with me!
 
 Yours, S. Rachmaninov
 
 © https://senar.ru/letters/130",Letter
